Model selection results for subset: 499634d0ff3f966206e904eae678d20b
Subset alignment stored here: ./analysis/phylofiles/499634d0ff3f966206e904eae678d20b.phy
This subset contains the following data_blocks: NAD5
Number of columns in subset: 858
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
MTMAM+G         | 1               | -29045.4        | 58092.8          | 58092.8         | 58097.6        
MTMAM+I+G       | 2               | -29046.0        | 58096.1          | 58096.1         | 58105.6        
DCMUT+I+G       | 2               | -29078.0        | 58159.9          | 58159.9         | 58169.4        
DAYHOFF+I+G     | 2               | -29078.8        | 58161.7          | 58161.7         | 58171.2        
DCMUT+G         | 1               | -29094.0        | 58190.0          | 58190.0         | 58194.7        
DAYHOFF+G       | 1               | -29094.9        | 58191.8          | 58191.8         | 58196.5        
HIVW+I+G        | 2               | -29451.2        | 58906.4          | 58906.4         | 58915.9        
HIVW+G          | 1               | -29472.3        | 58946.5          | 58946.5         | 58951.3        
CPREV           | 0               | -30130.0        | 60259.9          | 60259.9         | 60259.9        
CPREV+F         | 19              | -30130.0        | 60298.8          | 60297.9         | 60388.3        
PMB             | 0               | -30280.3        | 60560.6          | 60560.6         | 60560.6        
PMB+F           | 19              | -30280.3        | 60599.5          | 60598.6         | 60688.9        
VT              | 0               | -30377.8        | 60755.6          | 60755.6         | 60755.6        
BLOSUM62        | 0               | -30395.8        | 60791.5          | 60791.5         | 60791.5        
VT+F            | 19              | -30377.8        | 60794.6          | 60793.6         | 60884.0        
BLOSUM62+F      | 19              | -30395.8        | 60830.4          | 60829.5         | 60919.9        
MTZOA           | 0               | -30473.7        | 60947.5          | 60947.5         | 60947.5        
LG              | 0               | -30480.7        | 60961.4          | 60961.4         | 60961.4        
MTZOA+F         | 19              | -30473.7        | 60986.4          | 60985.5         | 61075.8        
LG+F            | 19              | -30480.7        | 61000.3          | 60999.4         | 61089.7        
WAG             | 0               | -30541.3        | 61082.5          | 61082.5         | 61082.5        
WAG+F           | 19              | -30541.3        | 61121.4          | 61120.5         | 61210.8        
JTT             | 0               | -30595.3        | 61190.7          | 61190.7         | 61190.7        
JTTDCMUT        | 0               | -30610.3        | 61220.5          | 61220.5         | 61220.5        
JTT+F           | 19              | -30595.3        | 61229.6          | 61228.7         | 61319.0        
JTTDCMUT+F      | 19              | -30610.3        | 61259.5          | 61258.5         | 61348.9        
MTREV           | 0               | -30818.4        | 61636.9          | 61636.9         | 61636.9        
MTREV+F         | 19              | -30818.4        | 61675.8          | 61674.9         | 61765.2        
MTART           | 0               | -30867.1        | 61734.2          | 61734.2         | 61734.2        
RTREV           | 0               | -30880.5        | 61761.1          | 61761.1         | 61761.1        
MTART+F         | 19              | -30867.1        | 61773.1          | 61772.2         | 61862.5        
RTREV+F         | 19              | -30880.5        | 61800.0          | 61799.1         | 61889.4        
FLU             | 0               | -30921.8        | 61843.5          | 61843.5         | 61843.5        
FLU+F           | 19              | -30921.8        | 61882.4          | 61881.5         | 61971.9        
HIVB            | 0               | -31047.8        | 62095.6          | 62095.6         | 62095.6        
HIVB+F          | 19              | -31047.8        | 62134.5          | 62133.6         | 62224.0        
DCMUT           | 0               | -31212.0        | 62424.0          | 62424.0         | 62424.0        
DAYHOFF         | 0               | -31217.1        | 62434.2          | 62434.2         | 62434.2        
DCMUT+F         | 19              | -31212.0        | 62462.9          | 62462.0         | 62552.3        
DAYHOFF+F       | 19              | -31217.1        | 62473.1          | 62472.2         | 62562.5        
STMTREV         | 0               | -31382.4        | 62764.8          | 62764.8         | 62764.8        
STMTREV+F       | 19              | -31382.4        | 62803.7          | 62802.8         | 62893.1        
MTMAM           | 0               | -31746.5        | 63493.0          | 63493.0         | 63493.0        
MTMAM+F         | 19              | -31746.5        | 63531.9          | 63531.0         | 63621.3        
HIVW            | 0               | -32062.0        | 64124.0          | 64124.0         | 64124.0        
HIVW+F          | 19              | -32062.0        | 64162.9          | 64162.0         | 64252.4        
