Model selection results for subset: 521ca7e29a9e81e362352b3f17796048
Subset alignment stored here: ./analysis/phylofiles/521ca7e29a9e81e362352b3f17796048.phy
This subset contains the following data_blocks: CYTB, NAD1, ATP6
Number of columns in subset: 1514
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
MTREV+I+G+F     | 21              | -34473.5        | 68989.7          | 68989.1         | 69100.8        
FLU+I+G+F       | 21              | -34474.1        | 68990.9          | 68990.3         | 69102.0        
MTREV+G+F       | 20              | -34477.3        | 68995.2          | 68994.6         | 69101.1        
FLU+G+F         | 20              | -34478.6        | 68997.7          | 68997.1         | 69103.6        
MTART+I+G+F     | 21              | -34517.1        | 69076.9          | 69076.3         | 69188.0        
MTART+G+F       | 20              | -34521.8        | 69084.1          | 69083.6         | 69190.0        
HIVB+I+G+F      | 21              | -34577.2        | 69197.1          | 69196.5         | 69308.2        
HIVB+G+F        | 20              | -34585.6        | 69211.8          | 69211.2         | 69317.7        
CPREV+I+G       | 2               | -34753.5        | 69511.0          | 69511.0         | 69521.7        
CPREV+G         | 1               | -34765.5        | 69532.9          | 69532.9         | 69538.2        
LG+I+G          | 2               | -34792.9        | 69589.9          | 69589.9         | 69600.5        
MTART+I+G       | 2               | -34795.0        | 69594.0          | 69594.0         | 69604.6        
MTART+G         | 1               | -34799.8        | 69601.5          | 69601.5         | 69606.9        
LG+G            | 1               | -34801.9        | 69605.7          | 69605.7         | 69611.0        
LG4X            | 6               | -34891.4        | 69794.9          | 69794.9         | 69826.8        
MTMAM+I+G+F     | 21              | -35021.5        | 70085.6          | 70085.0         | 70196.7        
MTMAM+G+F       | 20              | -35025.9        | 70092.3          | 70091.7         | 70198.2        
LG4M+G          | 1               | -35046.4        | 70094.8          | 70094.8         | 70100.1        
VT+I+G          | 2               | -35155.9        | 70315.9          | 70315.9         | 70326.5        
VT+G            | 1               | -35165.9        | 70333.9          | 70333.9         | 70339.2        
JTT+I+G         | 2               | -35178.8        | 70361.6          | 70361.6         | 70372.3        
PMB+I+G         | 2               | -35186.1        | 70376.2          | 70376.2         | 70386.9        
JTT+G           | 1               | -35191.4        | 70384.8          | 70384.8         | 70390.2        
PMB+G           | 1               | -35195.0        | 70392.1          | 70392.1         | 70397.4        
JTTDCMUT+I+G    | 2               | -35196.9        | 70397.9          | 70397.8         | 70408.5        
JTTDCMUT+G      | 1               | -35209.5        | 70421.0          | 70421.0         | 70426.3        
BLOSUM62+I+G    | 2               | -35212.5        | 70429.0          | 70429.0         | 70439.7        
BLOSUM62+G      | 1               | -35221.0        | 70444.0          | 70444.0         | 70449.3        
MTREV+I+G       | 2               | -35225.5        | 70455.0          | 70455.0         | 70465.6        
MTREV+G         | 1               | -35230.4        | 70462.7          | 70462.7         | 70468.1        
WAG+I+G         | 2               | -35255.6        | 70515.3          | 70515.3         | 70525.9        
WAG+G           | 1               | -35269.0        | 70540.0          | 70540.0         | 70545.3        
HIVW+I+G+F      | 21              | -35287.3        | 70617.3          | 70616.7         | 70728.4        
HIVW+G+F        | 20              | -35308.6        | 70657.8          | 70657.2         | 70763.7        
FLU+I+G         | 2               | -35359.4        | 70722.8          | 70722.7         | 70733.4        
FLU+G           | 1               | -35378.7        | 70759.5          | 70759.5         | 70764.8        
RTREV+I+G       | 2               | -35413.7        | 70831.4          | 70831.4         | 70842.0        
RTREV+G         | 1               | -35421.7        | 70845.5          | 70845.5         | 70850.8        
STMTREV+I+G+F   | 21              | -35427.3        | 70897.3          | 70896.7         | 71008.5        
STMTREV+G+F     | 20              | -35445.0        | 70930.6          | 70930.1         | 71036.5        
HIVB+I+G        | 2               | -35531.0        | 71066.0          | 71066.0         | 71076.6        
HIVB+G          | 1               | -35550.8        | 71103.6          | 71103.6         | 71108.9        
MTMAM+I+G       | 2               | -35652.4        | 71308.9          | 71308.9         | 71319.5        
MTMAM+G         | 1               | -35657.1        | 71316.2          | 71316.2         | 71321.5        
STMTREV+I+G     | 2               | -35761.8        | 71527.6          | 71527.6         | 71538.2        
STMTREV+G       | 1               | -35785.2        | 71572.5          | 71572.5         | 71577.8        
DAYHOFF+I+G     | 2               | -35837.6        | 71679.1          | 71679.1         | 71689.8        
DCMUT+I+G       | 2               | -35839.9        | 71683.8          | 71683.8         | 71694.4        
DAYHOFF+G       | 1               | -35851.3        | 71704.5          | 71704.5         | 71709.9        
DCMUT+G         | 1               | -35853.7        | 71709.4          | 71709.4         | 71714.7        
HIVW+I+G        | 2               | -36582.8        | 73169.6          | 73169.6         | 73180.3        
HIVW+G          | 1               | -36610.6        | 73223.2          | 73223.2         | 73228.5        
MTZOA           | 0               | -36815.6        | 73631.1          | 73631.1         | 73631.1        
MTZOA+F         | 19              | -36815.6        | 73669.6          | 73669.1         | 73770.2        
CPREV           | 0               | -37007.7        | 74015.4          | 74015.4         | 74015.4        
CPREV+F         | 19              | -37007.7        | 74053.9          | 74053.4         | 74154.5        
LG              | 0               | -37133.4        | 74266.8          | 74266.8         | 74266.8        
LG+F            | 19              | -37133.4        | 74305.3          | 74304.8         | 74405.9        
PMB             | 0               | -37247.7        | 74495.5          | 74495.5         | 74495.5        
PMB+F           | 19              | -37247.7        | 74534.0          | 74533.5         | 74634.6        
VT              | 0               | -37334.0        | 74668.0          | 74668.0         | 74668.0        
BLOSUM62        | 0               | -37342.4        | 74684.8          | 74684.8         | 74684.8        
VT+F            | 19              | -37334.0        | 74706.5          | 74706.0         | 74807.1        
BLOSUM62+F      | 19              | -37342.4        | 74723.3          | 74722.8         | 74823.9        
MTART           | 0               | -37456.7        | 74913.3          | 74913.3         | 74913.3        
MTART+F         | 19              | -37456.7        | 74951.8          | 74951.3         | 75052.4        
WAG             | 0               | -37514.6        | 75029.2          | 75029.2         | 75029.2        
JTT             | 0               | -37524.5        | 75049.0          | 75049.0         | 75049.0        
WAG+F           | 19              | -37514.6        | 75067.7          | 75067.2         | 75168.3        
JTTDCMUT        | 0               | -37539.9        | 75079.7          | 75079.7         | 75079.7        
JTT+F           | 19              | -37524.5        | 75087.5          | 75087.0         | 75188.1        
JTTDCMUT+F      | 19              | -37539.9        | 75118.2          | 75117.7         | 75218.9        
MTREV           | 0               | -37601.4        | 75202.9          | 75202.9         | 75202.9        
MTREV+F         | 19              | -37601.4        | 75241.4          | 75240.9         | 75342.0        
RTREV           | 0               | -37772.3        | 75544.6          | 75544.6         | 75544.6        
RTREV+F         | 19              | -37772.3        | 75583.1          | 75582.6         | 75683.7        
FLU             | 0               | -37872.2        | 75744.4          | 75744.4         | 75744.4        
FLU+F           | 19              | -37872.2        | 75782.9          | 75782.4         | 75883.5        
HIVB            | 0               | -38118.4        | 76236.8          | 76236.8         | 76236.8        
HIVB+F          | 19              | -38118.4        | 76275.3          | 76274.8         | 76375.9        
DCMUT           | 0               | -38305.3        | 76610.5          | 76610.5         | 76610.5        
DAYHOFF         | 0               | -38308.1        | 76616.3          | 76616.3         | 76616.3        
DCMUT+F         | 19              | -38305.3        | 76649.1          | 76648.5         | 76749.7        
DAYHOFF+F       | 19              | -38308.1        | 76654.8          | 76654.3         | 76755.4        
MTMAM           | 0               | -38602.6        | 77205.2          | 77205.2         | 77205.2        
MTMAM+F         | 19              | -38602.6        | 77243.7          | 77243.2         | 77344.3        
STMTREV         | 0               | -38970.9        | 77941.7          | 77941.7         | 77941.7        
STMTREV+F       | 19              | -38970.9        | 77980.2          | 77979.7         | 78080.9        
HIVW            | 0               | -39493.5        | 78986.9          | 78986.9         | 78986.9        
HIVW+F          | 19              | -39493.5        | 79025.5          | 79024.9         | 79126.1        
