Model selection results for subset: 909521b89ab94c500609b0d7e152b97a
Subset alignment stored here: ./analysis/phylofiles/909521b89ab94c500609b0d7e152b97a.phy
This subset contains the following data_blocks: ATP8, NAD2, NAD6
Number of columns in subset: 1506
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
LG              | 0               | -43095.5        | 86191.0          | 86191.0         | 86191.0        
LG+F            | 19              | -43095.5        | 86229.5          | 86229.0         | 86330.0        
FLU             | 0               | -43411.0        | 86822.0          | 86822.0         | 86822.0        
FLU+F           | 19              | -43411.0        | 86860.5          | 86860.0         | 86961.0        
HIVB            | 0               | -43533.9        | 87067.7          | 87067.7         | 87067.7        
HIVB+F          | 19              | -43533.9        | 87106.2          | 87105.7         | 87206.8        
RTREV           | 0               | -43554.6        | 87109.2          | 87109.2         | 87109.2        
RTREV+F         | 19              | -43554.6        | 87147.7          | 87147.2         | 87248.2        
MTZOA           | 0               | -43614.2        | 87228.4          | 87228.4         | 87228.4        
MTZOA+F         | 19              | -43614.2        | 87266.9          | 87266.4         | 87367.4        
DCMUT           | 0               | -43726.7        | 87453.5          | 87453.5         | 87453.5        
DAYHOFF         | 0               | -43730.1        | 87460.2          | 87460.2         | 87460.2        
DCMUT+F         | 19              | -43726.7        | 87492.0          | 87491.5         | 87592.5        
DAYHOFF+F       | 19              | -43730.1        | 87498.7          | 87498.2         | 87599.2        
STMTREV         | 0               | -43756.9        | 87513.9          | 87513.9         | 87513.9        
STMTREV+F       | 19              | -43756.9        | 87552.4          | 87551.9         | 87652.9        
MTREV           | 0               | -43919.1        | 87838.2          | 87838.2         | 87838.2        
MTREV+F         | 19              | -43919.1        | 87876.7          | 87876.2         | 87977.2        
MTART           | 0               | -44335.5        | 88670.9          | 88670.9         | 88670.9        
MTART+F         | 19              | -44335.5        | 88709.4          | 88708.9         | 88810.0        
HIVW            | 0               | -44410.6        | 88821.3          | 88821.3         | 88821.3        
HIVW+F          | 19              | -44410.6        | 88859.8          | 88859.3         | 88960.3        
MTMAM           | 0               | -45260.6        | 90521.2          | 90521.2         | 90521.2        
MTMAM+F         | 19              | -45260.6        | 90559.7          | 90559.2         | 90660.2        
